HCP_ID,HCP_Name,Province,Specialty,Facility_ID,HCP_Type,Practice_Setting,Years_in_Practice
HCP_0492,Marla Sanford,Quebec,Urology,FAC_QC_CLIN_007,Physician,Community Clinic,4
HCP_0493,Elton VonRueden,Quebec,Urology,FAC_QC_ACAD_004,Physician,Academic/Teaching Hospital,19
HCP_0494,Raphael Connelly,Quebec,Urology,FAC_QC_PRIV_002,Physician,Private Practice,6
HCP_0495,Ferne Hudson,Quebec,Urology,FAC_QC_CLIN_011,Physician,Community Clinic,1
HCP_0496,Deloris Zemlak,Quebec,Urology,FAC_QC_HOSP_008,Physician,Hospital,5
HCP_0497,Myong Heidenreich,Quebec,Urology,FAC_QC_ACAD_014,Physician,Academic/Teaching Hospital,16
HCP_0498,Dorene Kessler,Quebec,Urology,FAC_QC_ACAD_003,Physician,Academic/Teaching Hospital,34
HCP_0499,Kavita Rao,Quebec,Urology,FAC_QC_HOSP_006,Physician,Hospital,9
HCP_0500,Jere Waelchi,Quebec,Urology,FAC_QC_ACAD_001,Physician,Academic/Teaching Hospital,10
HCP_0501,Brittani Satterfield,Quebec,Urology,FAC_QC_PRIV_006,Physician,Private Practice,9
HCP_0502,Mickie Greenholt,Quebec,Urology,FAC_QC_HOSP_011,Physician,Hospital,13
HCP_0503,Daichi Watanabe,Quebec,Urology,FAC_QC_ACAD_004,Physician,Academic/Teaching Hospital,26
HCP_0504,Marla Sanford,Quebec,Urology,FAC_QC_HOSP_010,Physician,Hospital,12
HCP_0505,Randa Leuschke,Quebec,Orthopedic Surgery,FAC_QC_HOSP_005,Physician,Hospital,24
HCP_0506,Daron Berge,Quebec,Orthopedic Surgery,FAC_QC_HOSP_015,Physician,Hospital,32
HCP_0507,Buddy Schinner,Quebec,Orthopedic Surgery,FAC_QC_CLIN_001,Physician,Community Clinic,34
HCP_0508,Emilee Runolfsdottir,Quebec,Orthopedic Surgery,FAC_QC_PRIV_011,Physician,Private Practice,20
HCP_0509,Buford Toy,Quebec,Orthopedic Surgery,FAC_QC_CLIN_004,Physician,Community Clinic,25
HCP_0510,Lyndia Hettinger,Quebec,Orthopedic Surgery,FAC_QC_HOSP_009,Physician,Hospital,33
HCP_0511,Sibusiso Ndlovu,Quebec,Orthopedic Surgery,FAC_QC_HOSP_001,Physician,Hospital,28
HCP_0512,Fernando Sierra,Quebec,Orthopedic Surgery,FAC_QC_ACAD_012,Physician,Academic/Teaching Hospital,11
HCP_0513,Albertina Skiles,Quebec,Orthopedic Surgery,FAC_QC_ACAD_010,Physician,Academic/Teaching Hospital,5
HCP_0514,Elijah Koepp,Quebec,Orthopedic Surgery,FAC_QC_ACAD_006,Physician,Academic/Teaching Hospital,5
HCP_0515,Mika Suzuki,Quebec,Orthopedic Surgery,FAC_QC_HOSP_007,Physician,Hospital,31
HCP_0516,Vern Powlowski,Quebec,Orthopedic Surgery,FAC_QC_ACAD_010,Physician,Academic/Teaching Hospital,20
HCP_0517,Mariano West,Quebec,Orthopedic Surgery,FAC_QC_PRIV_010,Physician,Private Practice,11
HCP_0518,Mari Reynolds,Quebec,Orthopedic Surgery,FAC_QC_PRIV_007,Physician,Private Practice,13
HCP_0519,Reyna Keeling,Quebec,Orthopedic Surgery,FAC_QC_HOSP_014,Physician,Hospital,10
HCP_0520,Antonietta Reilly,Quebec,Orthopedic Surgery,FAC_QC_ACAD_010,Physician,Academic/Teaching Hospital,29
HCP_0521,Arnoldo Carter,Quebec,Orthopedic Surgery,FAC_QC_CLIN_014,Physician,Community Clinic,22
HCP_0522,Pamelia Harber,Quebec,Orthopedic Surgery,FAC_QC_HOSP_006,Physician,Hospital,31
HCP_0523,Shaunte Bergstrom,Quebec,Orthopedic Surgery,FAC_QC_HOSP_009,Physician,Hospital,11
HCP_0524,Parker Grady,Quebec,Orthopedic Surgery,FAC_QC_CLIN_007,Physician,Community Clinic,17
HCP_0525,Rayford Wisozk,Quebec,Orthopedic Surgery,FAC_QC_HOSP_010,Physician,Hospital,5
HCP_0526,Armida Huel,Quebec,Orthopedic Surgery,FAC_QC_CLIN_008,Physician,Community Clinic,34
HCP_0527,Arjun Malhotra,Quebec,Orthopedic Surgery,FAC_QC_CLIN_010,Physician,Community Clinic,18
HCP_0528,Pamelia Harber,Quebec,Orthopedic Surgery,FAC_QC_ACAD_009,Physician,Academic/Teaching Hospital,20
HCP_0529,Rohan Kapoor,Quebec,Orthopedic Surgery,FAC_QC_HOSP_011,Physician,Hospital,15
HCP_0530,Arjun Malhotra,Quebec,Orthopedic Surgery,FAC_QC_PRIV_003,Physician,Private Practice,10
HCP_0531,Alexander Koch,Quebec,Orthopedic Surgery,FAC_QC_ACAD_008,Physician,Academic/Teaching Hospital,34
HCP_0532,Edie Howell,Quebec,Orthopedic Surgery,FAC_QC_ACAD_002,Physician,Academic/Teaching Hospital,18
HCP_0533,Lon Lind,Quebec,Orthopedic Surgery,FAC_QC_ACAD_004,Physician,Academic/Teaching Hospital,24
HCP_0534,Homer Wiegand,Quebec,Orthopedic Surgery,FAC_QC_HOSP_014,Physician,Hospital,2
HCP_0535,Leilani Stoltenberg,Quebec,Orthopedic Surgery,FAC_QC_ACAD_008,Physician,Academic/Teaching Hospital,10
HCP_0536,Lonna Dietrich,Quebec,Ophthalmology,FAC_QC_ACAD_003,Physician,Academic/Teaching Hospital,29
HCP_0537,Daron Berge,Quebec,Ophthalmology,FAC_QC_CLIN_008,Physician,Community Clinic,4
HCP_0538,Brittani Satterfield,Quebec,Ophthalmology,FAC_QC_CLIN_013,Physician,Community Clinic,4
HCP_0539,Marylee Reynolds,Quebec,Ophthalmology,FAC_QC_PRIV_005,Physician,Private Practice,29
HCP_0540,Phillip McCullough,Quebec,Ophthalmology,FAC_QC_CLIN_005,Physician,Community Clinic,11
HCP_0541,Kathlyn Borer,Quebec,Ophthalmology,FAC_QC_CLIN_013,Physician,Community Clinic,10
HCP_0542,Devora Sipes,Quebec,Ophthalmology,FAC_QC_ACAD_008,Physician,Academic/Teaching Hospital,20
HCP_0543,Rivka Sanford,Quebec,Ophthalmology,FAC_QC_ACAD_002,Physician,Academic/Teaching Hospital,7
HCP_0544,Vertie Towne,Quebec,Ophthalmology,FAC_QC_CLIN_004,Physician,Community Clinic,2
HCP_0545,Dante Howell,Quebec,Ophthalmology,FAC_QC_ACAD_012,Physician,Academic/Teaching Hospital,1
HCP_0546,Leonor Najera,Quebec,Ophthalmology,FAC_QC_CLIN_007,Physician,Community Clinic,3
HCP_0547,Maribel Reilly,Quebec,Ophthalmology,FAC_QC_ACAD_002,Physician,Academic/Teaching Hospital,6
HCP_0548,Chad Sawayn,Quebec,Ophthalmology,FAC_QC_PRIV_009,Physician,Private Practice,25
HCP_0549,Blanca Feliciano,Quebec,Ophthalmology,FAC_QC_CLIN_010,Physician,Community Clinic,11
HCP_0550,Indira Willms,Quebec,Ophthalmology,FAC_QC_HOSP_003,Physician,Hospital,3
HCP_0551,Graham Volkman,Quebec,Ophthalmology,FAC_QC_PRIV_002,Physician,Private Practice,1
HCP_0552,Camille Erdman,Quebec,Ophthalmology,FAC_QC_CLIN_016,Physician,Community Clinic,17
HCP_0553,Parker Grady,Quebec,Ophthalmology,FAC_QC_HOSP_008,Physician,Hospital,30
HCP_0554,Gale Jacobi,Quebec,Ophthalmology,FAC_QC_HOSP_009,Physician,Hospital,12
HCP_0555,Naledi Khumalo,Quebec,Ophthalmology,FAC_QC_ACAD_002,Physician,Academic/Teaching Hospital,3
HCP_0556,Shawnee Zieme,Quebec,Ophthalmology,FAC_QC_HOSP_003,Physician,Hospital,8
HCP_0557,Joan Trantow,Quebec,Ophthalmology,FAC_QC_ACAD_010,Physician,Academic/Teaching Hospital,18
HCP_0558,Karisa Stiedemann,Quebec,Ophthalmology,FAC_QC_ACAD_004,Physician,Academic/Teaching Hospital,7
HCP_0559,Cathi Gulgowski,Quebec,Ophthalmology,FAC_QC_HOSP_011,Physician,Hospital,35
HCP_0560,Earle Rice,Quebec,Ophthalmology,FAC_QC_PRIV_007,Physician,Private Practice,27
HCP_0561,Latashia Glover,Quebec,Ophthalmology,FAC_QC_PRIV_001,Physician,Private Practice,13
HCP_0562,Colby Schowalter,Quebec,Ophthalmology,FAC_QC_CLIN_004,Physician,Community Clinic,34
HCP_0563,Zaida Treutel,Quebec,Obstetrics/Gynecology,FAC_QC_PRIV_004,Physician,Private Practice,12
HCP_0564,Kasi Hickle,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_010,Physician,Community Clinic,5
HCP_0565,Santina Klocko,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_002,Physician,Community Clinic,33
HCP_0566,Lyndia Hettinger,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_002,Physician,Community Clinic,34
HCP_0567,Raye Wyman,Quebec,Obstetrics/Gynecology,FAC_QC_ACAD_006,Physician,Academic/Teaching Hospital,11
HCP_0568,Emilee Runolfsdottir,Quebec,Obstetrics/Gynecology,FAC_QC_PRIV_003,Physician,Private Practice,21
HCP_0569,Darcey Miller,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_014,Physician,Community Clinic,7
HCP_0570,Estefana Emmerich,Quebec,Obstetrics/Gynecology,FAC_QC_ACAD_005,Physician,Academic/Teaching Hospital,23
HCP_0571,Haruto Sato,Quebec,Obstetrics/Gynecology,FAC_QC_ACAD_004,Physician,Academic/Teaching Hospital,25
HCP_0572,Caroyln Hyatt,Quebec,Obstetrics/Gynecology,FAC_QC_ACAD_012,Physician,Academic/Teaching Hospital,25
HCP_0573,Reggie Mitchell,Quebec,Obstetrics/Gynecology,FAC_QC_PRIV_009,Physician,Private Practice,20
HCP_0574,Garth Wyman,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_013,Physician,Community Clinic,25
HCP_0575,Suzette Monahan,Quebec,Obstetrics/Gynecology,FAC_QC_ACAD_011,Physician,Academic/Teaching Hospital,20
HCP_0576,Dorene Kessler,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_007,Physician,Community Clinic,29
HCP_0577,Kavita Rao,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_011,Physician,Community Clinic,7
HCP_0578,Buster Ferry,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_007,Physician,Community Clinic,17
HCP_0579,Katherina Frami,Quebec,Obstetrics/Gynecology,FAC_QC_ACAD_004,Physician,Academic/Teaching Hospital,15
HCP_0580,Wayne Mertz,Quebec,Obstetrics/Gynecology,FAC_QC_PRIV_011,Physician,Private Practice,19
HCP_0581,Veda Pfeffer,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_005,Physician,Community Clinic,5
HCP_0582,Brandon Gerhold,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_008,Physician,Community Clinic,12
HCP_0583,Vern Powlowski,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_006,Physician,Community Clinic,34
HCP_0584,Leonor Najera,Quebec,Obstetrics/Gynecology,FAC_QC_PRIV_002,Physician,Private Practice,4
HCP_0585,Lai Friesen,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_014,Physician,Community Clinic,23
HCP_0586,Kavita Rao,Quebec,Obstetrics/Gynecology,FAC_QC_PRIV_010,Physician,Private Practice,24
HCP_0587,Dotty Considine,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_007,Physician,Community Clinic,17
HCP_0588,Oscar Mateo,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_006,Physician,Community Clinic,2
HCP_0589,Albertina Skiles,Quebec,Obstetrics/Gynecology,FAC_QC_ACAD_011,Physician,Academic/Teaching Hospital,2
HCP_0590,Anika Wisozk,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_010,Physician,Community Clinic,10
HCP_0591,Graham Volkman,Quebec,Obstetrics/Gynecology,FAC_QC_HOSP_002,Physician,Hospital,4
HCP_0592,Carla Koss,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_013,Physician,Community Clinic,4
HCP_0593,Geraldo Kiehn,Quebec,Obstetrics/Gynecology,FAC_QC_PRIV_008,Physician,Private Practice,6
HCP_0594,Sipho Dlamini,Quebec,Obstetrics/Gynecology,FAC_QC_HOSP_007,Physician,Hospital,7
HCP_0595,Rayford Wisozk,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_005,Physician,Community Clinic,30
HCP_0596,Graham Volkman,Quebec,Obstetrics/Gynecology,FAC_QC_HOSP_005,Physician,Hospital,23
HCP_0597,Leilani Stoltenberg,Quebec,Obstetrics/Gynecology,FAC_QC_PRIV_012,Physician,Private Practice,2
HCP_0598,Rosalind Kutch,Quebec,Obstetrics/Gynecology,FAC_QC_PRIV_011,Physician,Private Practice,22
HCP_0599,Darrel Lang,Quebec,Obstetrics/Gynecology,FAC_QC_ACAD_011,Physician,Academic/Teaching Hospital,5
HCP_0600,Darcey Miller,Quebec,Obstetrics/Gynecology,FAC_QC_CLIN_016,Physician,Community Clinic,15
HCP_0601,Harold Kessler,Quebec,Obstetrics/Gynecology,FAC_QC_ACAD_009,Physician,Academic/Teaching Hospital,2
HCP_0602,Rosalind Kutch,Quebec,Obstetrics/Gynecology,FAC_QC_HOSP_003,Physician,Hospital,4
HCP_0603,Kelly Boyle,Quebec,Obstetrics/Gynecology,FAC_QC_ACAD_009,Physician,Academic/Teaching Hospital,5
HCP_0604,Jeramy Littel,Ontario,Internal Medicine,FAC_ON_PRIV_019,Physician,Private Practice,16
HCP_0605,Parker Grady,Ontario,Internal Medicine,FAC_ON_ACAD_020,Physician,Academic/Teaching Hospital,17
HCP_0606,Latashia Glover,Ontario,Internal Medicine,FAC_ON_ACAD_023,Physician,Academic/Teaching Hospital,13
HCP_0607,Sergio Dooley,Ontario,Internal Medicine,FAC_ON_PRIV_006,Physician,Private Practice,22
HCP_0608,Mario Guerra,Ontario,Internal Medicine,FAC_ON_CLIN_021,Physician,Community Clinic,26
HCP_0609,Hana Kobayashi,Ontario,Internal Medicine,FAC_ON_PRIV_007,Physician,Private Practice,26
HCP_0610,Toi Kulas,Ontario,Internal Medicine,FAC_ON_ACAD_013,Physician,Academic/Teaching Hospital,21
HCP_0611,Brandon Gerhold,Ontario,Internal Medicine,FAC_ON_ACAD_001,Physician,Academic/Teaching Hospital,20
HCP_0612,Suanne Douglas,Ontario,Internal Medicine,FAC_ON_ACAD_013,Physician,Academic/Teaching Hospital,18
HCP_0613,Dena Rau,Ontario,Internal Medicine,FAC_ON_HOSP_014,Physician,Hospital,9
HCP_0614,Bart Jenkins,Ontario,Internal Medicine,FAC_ON_PRIV_019,Physician,Private Practice,18
HCP_0615,Maximo Carter,Ontario,Internal Medicine,FAC_ON_HOSP_009,Physician,Hospital,1
HCP_0616,Joleen Oberbrunner,Ontario,Internal Medicine,FAC_ON_PRIV_020,Physician,Private Practice,34
HCP_0617,Emilee Runolfsdottir,Ontario,Internal Medicine,FAC_ON_ACAD_023,Physician,Academic/Teaching Hospital,13
HCP_0618,Lesley Murazik,Ontario,Internal Medicine,FAC_ON_HOSP_022,Physician,Hospital,27
HCP_0619,Lynwood Monahan,Ontario,Internal Medicine,FAC_ON_PRIV_008,Physician,Private Practice,34
HCP_0620,Clint Goldner,Ontario,Internal Medicine,FAC_ON_ACAD_025,Physician,Academic/Teaching Hospital,18
HCP_0621,Carmelina Wisozk,Ontario,Internal Medicine,FAC_ON_ACAD_011,Physician,Academic/Teaching Hospital,31
HCP_0622,Elvis Hartmann,Ontario,Internal Medicine,FAC_ON_CLIN_012,Physician,Community Clinic,17
HCP_0623,Edie Howell,Ontario,Internal Medicine,FAC_ON_HOSP_007,Physician,Hospital,5
HCP_0624,Caroyln Hyatt,Ontario,Internal Medicine,FAC_ON_ACAD_004,Physician,Academic/Teaching Hospital,1
HCP_0625,Raphael Connelly,Ontario,Internal Medicine,FAC_ON_ACAD_015,Physician,Academic/Teaching Hospital,5
HCP_0626,Florinda Schimmel,Ontario,Internal Medicine,FAC_ON_PRIV_017,Physician,Private Practice,33
HCP_0627,Juan Connelly,Ontario,Internal Medicine,FAC_ON_ACAD_021,Physician,Academic/Teaching Hospital,17
HCP_0628,Sharen McGlynn,Ontario,Internal Medicine,FAC_ON_HOSP_004,Physician,Hospital,12
HCP_0629,Shawnee Zieme,Ontario,Internal Medicine,FAC_ON_PRIV_021,Physician,Private Practice,16
HCP_0630,Sharen McGlynn,Ontario,Internal Medicine,FAC_ON_HOSP_014,Physician,Hospital,9
HCP_0631,Kelly Boyle,Ontario,Internal Medicine,FAC_ON_ACAD_024,Physician,Academic/Teaching Hospital,31
HCP_0632,Anton Gibson,Ontario,Internal Medicine,FAC_ON_PRIV_018,Physician,Private Practice,35
HCP_0633,Carmelina Wisozk,Ontario,Internal Medicine,FAC_ON_ACAD_002,Physician,Academic/Teaching Hospital,3
HCP_0634,Horace Collier,Ontario,Internal Medicine,FAC_ON_PRIV_001,Physician,Private Practice,26
HCP_0635,Kasi Hickle,Ontario,Internal Medicine,FAC_ON_HOSP_024,Physician,Hospital,12
HCP_0636,Maximo Carter,Ontario,Internal Medicine,FAC_ON_HOSP_010,Physician,Hospital,2
HCP_0637,Lyndia Hettinger,Ontario,Internal Medicine,FAC_ON_CLIN_001,Physician,Community Clinic,33
HCP_0638,Paige Goodwin,Ontario,Internal Medicine,FAC_ON_PRIV_015,Physician,Private Practice,3
HCP_0639,Cathi Gulgowski,Ontario,Internal Medicine,FAC_ON_HOSP_002,Physician,Hospital,8
HCP_0640,Haruto Sato,Ontario,Internal Medicine,FAC_ON_ACAD_008,Physician,Academic/Teaching Hospital,1
HCP_0641,Gemma Effertz,Ontario,Internal Medicine,FAC_ON_HOSP_026,Physician,Hospital,17
HCP_0642,Priya Nair,Ontario,Internal Medicine,FAC_ON_CLIN_014,Physician,Community Clinic,21
HCP_0643,Toi Kulas,Ontario,Internal Medicine,FAC_ON_HOSP_012,Physician,Hospital,12
HCP_0644,Elvis Hartmann,Ontario,Internal Medicine,FAC_ON_CLIN_018,Physician,Community Clinic,3
HCP_0645,Crissy O'Connell,Ontario,Internal Medicine,FAC_ON_CLIN_003,Physician,Community Clinic,5
HCP_0646,Anton Gibson,Ontario,Internal Medicine,FAC_ON_HOSP_005,Physician,Hospital,33
HCP_0647,Suanne Douglas,Ontario,Internal Medicine,FAC_ON_PRIV_004,Physician,Private Practice,29
HCP_0648,Kimberely Beatty,Ontario,Internal Medicine,FAC_ON_ACAD_012,Physician,Academic/Teaching Hospital,33
HCP_0649,Mika Suzuki,Ontario,Internal Medicine,FAC_ON_ACAD_003,Physician,Academic/Teaching Hospital,19
HCP_0650,Carroll McClure,Ontario,Internal Medicine,FAC_ON_CLIN_003,Physician,Community Clinic,20
HCP_0651,Noriko Anderson,Ontario,Internal Medicine,FAC_ON_ACAD_023,Physician,Academic/Teaching Hospital,28
HCP_0652,Mickie Greenholt,Ontario,Internal Medicine,FAC_ON_ACAD_003,Physician,Academic/Teaching Hospital,22
HCP_0653,Donita Ward,Ontario,Internal Medicine,FAC_ON_ACAD_017,Physician,Academic/Teaching Hospital,16
HCP_0654,Marianela Anderson,Ontario,Internal Medicine,FAC_ON_CLIN_007,Physician,Community Clinic,11
HCP_0655,Rory Kuvalis,Ontario,Internal Medicine,FAC_ON_ACAD_023,Physician,Academic/Teaching Hospital,17
HCP_0656,Kimberely Beatty,Ontario,Internal Medicine,FAC_ON_PRIV_019,Physician,Private Practice,3
HCP_0657,Alaine Gusikowski,Ontario,Internal Medicine,FAC_ON_HOSP_017,Physician,Hospital,7
HCP_0658,Roxanna Crist,Ontario,Internal Medicine,FAC_ON_CLIN_019,Physician,Community Clinic,26
HCP_0659,Benton Becker,Ontario,Internal Medicine,FAC_ON_PRIV_002,Physician,Private Practice,31
HCP_0660,Homer Wiegand,Ontario,Internal Medicine,FAC_ON_HOSP_009,Physician,Hospital,4
HCP_0661,Sanford Gottlieb,Ontario,Internal Medicine,FAC_ON_CLIN_012,Physician,Community Clinic,4
HCP_0662,Joan Trantow,Ontario,Internal Medicine,FAC_ON_ACAD_018,Physician,Academic/Teaching Hospital,3
HCP_0663,Terry Wiegand,Ontario,Internal Medicine,FAC_ON_HOSP_025,Physician,Hospital,28
HCP_0664,Donita Ward,Ontario,Internal Medicine,FAC_ON_CLIN_022,Physician,Community Clinic,11
HCP_0665,Antonietta Reilly,Ontario,Internal Medicine,FAC_ON_HOSP_008,Physician,Hospital,12
HCP_0666,Augustine Fisher,Ontario,Internal Medicine,FAC_ON_PRIV_022,Physician,Private Practice,1
HCP_0667,Shawnee Zieme,Ontario,Internal Medicine,FAC_ON_HOSP_015,Physician,Hospital,35
HCP_0668,Noe Gutkowski,Ontario,Internal Medicine,FAC_ON_ACAD_020,Physician,Academic/Teaching Hospital,16
HCP_0669,Priya Nair,Ontario,Internal Medicine,FAC_ON_HOSP_015,Physician,Hospital,28
HCP_0670,Judith Johns,Ontario,Internal Medicine,FAC_ON_ACAD_007,Physician,Academic/Teaching Hospital,25
HCP_0671,Aiko Nakamura,Ontario,Internal Medicine,FAC_ON_ACAD_021,Physician,Academic/Teaching Hospital,5
HCP_0672,Michel Reichel,Ontario,Internal Medicine,FAC_ON_ACAD_011,Physician,Academic/Teaching Hospital,29
HCP_0673,Joleen Oberbrunner,Ontario,Internal Medicine,FAC_ON_ACAD_002,Physician,Academic/Teaching Hospital,20
HCP_0674,Veda Pfeffer,Ontario,Internal Medicine,FAC_ON_HOSP_007,Physician,Hospital,22
HCP_0675,Arcelia Gottlieb,Ontario,Internal Medicine,FAC_ON_ACAD_010,Physician,Academic/Teaching Hospital,8
HCP_0676,Alfred Weber,Ontario,Internal Medicine,FAC_ON_PRIV_004,Physician,Private Practice,30
HCP_0677,Leilani Stoltenberg,Ontario,Internal Medicine,FAC_ON_ACAD_009,Physician,Academic/Teaching Hospital,33
HCP_0678,Malinda Cassin,Ontario,Internal Medicine,FAC_ON_ACAD_014,Physician,Academic/Teaching Hospital,15
HCP_0679,Buster Ferry,Ontario,Internal Medicine,FAC_ON_PRIV_010,Physician,Private Practice,4
HCP_0680,Neha Deshmukh,Ontario,Internal Medicine,FAC_ON_CLIN_020,Physician,Community Clinic,30
HCP_0681,Della Steuber,Ontario,Internal Medicine,FAC_ON_HOSP_013,Physician,Hospital,32
HCP_0682,Jeramy Littel,Ontario,Internal Medicine,FAC_ON_HOSP_003,Physician,Hospital,18
HCP_0683,Mika Suzuki,Ontario,Internal Medicine,FAC_ON_CLIN_013,Physician,Community Clinic,21
HCP_0684,Mika Suzuki,Ontario,Internal Medicine,FAC_ON_ACAD_007,Physician,Academic/Teaching Hospital,8
HCP_0685,Maile Frami,Ontario,Internal Medicine,FAC_ON_PRIV_006,Physician,Private Practice,3
HCP_0686,Graham Volkman,Ontario,Internal Medicine,FAC_ON_CLIN_015,Physician,Community Clinic,34
HCP_0687,Adela Chapa,Ontario,Internal Medicine,FAC_ON_HOSP_017,Physician,Hospital,17
HCP_0688,Chad Sawayn,Ontario,Internal Medicine,FAC_ON_PRIV_018,Physician,Private Practice,10
HCP_0689,Curtis Hamill,Ontario,Internal Medicine,FAC_ON_PRIV_009,Physician,Private Practice,25
HCP_0690,Dena Rau,Ontario,Internal Medicine,FAC_ON_ACAD_012,Physician,Academic/Teaching Hospital,1
HCP_0691,Ayanda Mthembu,Ontario,Internal Medicine,FAC_ON_PRIV_017,Physician,Private Practice,3
HCP_0692,Jeff Waters,Ontario,Internal Medicine,FAC_ON_PRIV_002,Physician,Private Practice,9
HCP_0693,Vivek Iyer,Ontario,Internal Medicine,FAC_ON_ACAD_011,Physician,Academic/Teaching Hospital,16
HCP_0694,Haruto Sato,Ontario,Internal Medicine,FAC_ON_CLIN_008,Physician,Community Clinic,13
HCP_0695,Hassan Rath,Ontario,Internal Medicine,FAC_ON_ACAD_009,Physician,Academic/Teaching Hospital,7
HCP_0696,Matt Bartell,Ontario,Internal Medicine,FAC_ON_CLIN_002,Physician,Community Clinic,13
HCP_0697,Della Steuber,Ontario,Internal Medicine,FAC_ON_HOSP_020,Physician,Hospital,12
HCP_0698,Chad Sawayn,Ontario,Internal Medicine,FAC_ON_CLIN_009,Physician,Community Clinic,19
HCP_0699,Garth Wyman,Ontario,Internal Medicine,FAC_ON_HOSP_025,Physician,Hospital,20
HCP_0700,Veda Pfeffer,Ontario,Internal Medicine,FAC_ON_HOSP_009,Physician,Hospital,31
HCP_0701,Alecia Welch,Ontario,Internal Medicine,FAC_ON_ACAD_018,Physician,Academic/Teaching Hospital,29
HCP_0702,Harold Kessler,Ontario,Internal Medicine,FAC_ON_ACAD_008,Physician,Academic/Teaching Hospital,11
HCP_0703,Maile Frami,Ontario,Internal Medicine,FAC_ON_HOSP_008,Physician,Hospital,32
HCP_0704,Maile Frami,Ontario,Internal Medicine,FAC_ON_ACAD_020,Physician,Academic/Teaching Hospital,19
HCP_0705,Mohammed Parisian,Ontario,Internal Medicine,FAC_ON_HOSP_015,Physician,Hospital,7
HCP_0706,Haley Effertz,Ontario,Internal Medicine,FAC_ON_CLIN_014,Physician,Community Clinic,12
HCP_0707,Suzette Monahan,Ontario,Internal Medicine,FAC_ON_PRIV_010,Physician,Private Practice,26
HCP_0708,Estefana Emmerich,Ontario,Internal Medicine,FAC_ON_CLIN_005,Physician,Community Clinic,29
HCP_0709,Reyna Keeling,Ontario,Internal Medicine,FAC_ON_PRIV_021,Physician,Private Practice,14
HCP_0710,Corrina Pacocha,Ontario,Internal Medicine,FAC_ON_ACAD_007,Physician,Academic/Teaching Hospital,6
HCP_0711,Indira Willms,Ontario,Internal Medicine,FAC_ON_HOSP_019,Physician,Hospital,7
HCP_0712,Alecia Welch,Ontario,Internal Medicine,FAC_ON_HOSP_026,Physician,Hospital,4
HCP_0713,Alfred Weber,Ontario,Internal Medicine,FAC_ON_ACAD_022,Physician,Academic/Teaching Hospital,25
HCP_0714,Edmundo Bauch,Ontario,Internal Medicine,FAC_ON_PRIV_021,Physician,Private Practice,18
HCP_0715,Priya Nair,Ontario,Internal Medicine,FAC_ON_PRIV_005,Physician,Private Practice,16
HCP_0716,Graham Volkman,Ontario,Internal Medicine,FAC_ON_CLIN_005,Physician,Community Clinic,24
HCP_0717,Blanca Feliciano,Ontario,Internal Medicine,FAC_ON_CLIN_001,Physician,Community Clinic,30
HCP_0718,Zaida Treutel,Ontario,Internal Medicine,FAC_ON_PRIV_009,Physician,Private Practice,28
HCP_0719,Lyndia Hettinger,Ontario,Internal Medicine,FAC_ON_PRIV_010,Physician,Private Practice,5
HCP_0720,Alexander Koch,Ontario,Internal Medicine,FAC_ON_HOSP_001,Physician,Hospital,21
HCP_0721,Clint Goldner,Ontario,Internal Medicine,FAC_ON_PRIV_013,Physician,Private Practice,31
HCP_0722,Vivek Iyer,Ontario,Internal Medicine,FAC_ON_PRIV_012,Physician,Private Practice,28
HCP_0723,Anika Wisozk,Ontario,Internal Medicine,FAC_ON_HOSP_007,Physician,Hospital,12
HCP_0724,Myong Heidenreich,Ontario,Internal Medicine,FAC_ON_CLIN_017,Physician,Community Clinic,14
HCP_0725,Dena Rau,Ontario,Internal Medicine,FAC_ON_ACAD_010,Physician,Academic/Teaching Hospital,32
HCP_0726,Brittani Satterfield,Ontario,Internal Medicine,FAC_ON_PRIV_003,Physician,Private Practice,2
HCP_0727,Della Steuber,Ontario,Internal Medicine,FAC_ON_HOSP_007,Physician,Hospital,19
HCP_0728,Malinda Cassin,Ontario,Internal Medicine,FAC_ON_HOSP_007,Physician,Hospital,5
HCP_0729,Noriko Anderson,Ontario,Internal Medicine,FAC_ON_PRIV_017,Physician,Private Practice,32
HCP_0730,Andrés Sauceda,Ontario,Cardiology,FAC_ON_CLIN_020,Physician,Community Clinic,2
